company_name,ds,yhat,yhat_lower,yhat_upper
Reliance Industries,2019-01-01,539.468689105747,445.52288921121533,642.6819407830485
Reliance Industries,2019-01-02,542.3493916075192,452.5457694068362,640.3814226800806
Reliance Industries,2019-01-03,545.2692962294983,450.39943144804835,640.917533303415
Reliance Industries,2019-01-04,547.5344381065499,443.7677780718814,640.9559416909954
Reliance Industries,2019-01-07,556.8909656476056,461.76674643675017,655.0103409797141
Reliance Industries,2019-01-08,562.5183169452356,467.54966764833745,665.2941030337784
Reliance Industries,2019-01-09,564.4023526794998,467.4428541734665,652.9785493012549
Reliance Industries,2019-01-10,565.9507562128902,470.0978759427118,659.5044553445165
Reliance Industries,2019-01-11,566.5029480164562,466.47487091884983,657.3583120083748
Reliance Industries,2019-01-14,569.123939824898,471.99262390014195,663.5432531397564
Reliance Industries,2019-01-15,572.1557311267295,472.15131646318326,667.460252453715
Reliance Industries,2019-01-16,571.3706775702943,471.33981411607704,667.0032633936623
Reliance Industries,2019-01-17,570.2406742106695,471.1000261993962,666.8286300121998
Reliance Industries,2019-01-18,568.169229548632,477.13036066933444,674.4523239395711
Reliance Industries,2019-01-21,563.8531367564793,471.24648358316455,660.7334656163504
Reliance Industries,2019-01-22,565.0630757153547,471.35519615028494,660.1775747199375
Reliance Industries,2019-01-23,562.7750586130121,466.6007213164799,668.4762483470007
Reliance Industries,2019-01-24,560.4932007744452,464.07573403976687,662.3145115574059
Reliance Industries,2019-01-25,557.6440610859497,459.4392853333134,660.2475308957103
Reliance Industries,2019-01-28,553.3232122773821,458.1419382674042,647.3013061479834
Reliance Industries,2019-01-29,555.2856269651313,463.0382954606073,651.0227148543007
Reliance Industries,2019-01-30,554.0919811003771,456.8281047041594,649.2463550625836
Reliance Industries,2019-01-31,553.2120253335358,451.5727224825036,649.2921875174943
Reliance Industries,2019-02-01,552.0303138682475,463.63222567304115,642.6967664490762
Reliance Industries,2019-02-04,553.795154525126,463.9407633396507,649.3966197111284
Reliance Industries,2019-02-05,557.9570532267409,463.94250749938413,656.3178361127806
Reliance Industries,2019-02-06,558.9483278677544,464.3075169740066,651.9850781310023
Reliance Industries,2019-02-07,560.1790164515517,463.0161464027142,650.107556010549
Reliance Industries,2019-02-08,560.9763062542212,461.7068303553755,660.7683036011315
Reliance Industries,2019-02-11,567.379346412309,469.7461032963264,662.9291984942952
Reliance Industries,2019-02-12,572.5149141340489,466.2358872912498,669.8162369778772
Reliance Industries,2019-02-14,575.6542287641774,473.94316053456447,669.9054389090139
Reliance Industries,2019-02-15,576.3682872272753,481.415795325499,674.9131498017109
Reliance Industries,2019-02-18,580.3835400011194,486.03207391069367,678.4162578904242
Reliance Industries,2019-02-19,584.0698602181058,487.6545260033746,682.4469421887285
Reliance Industries,2019-02-20,583.9710358452845,487.5390161007037,677.2621032493104
Reliance Industries,2019-02-21,583.5189115226884,488.77762712289507,677.2442156741159
Reliance Industries,2019-02-22,582.0768069713002,489.36316004189536,675.4150803546452
Reliance Industries,2019-02-25,578.972844974916,485.9180047678978,672.9859544170362
Reliance Industries,2019-02-26,580.245199239302,483.7213682261688,673.3317209583827
Reliance Industries,2019-02-27,577.7993733668059,483.6731406625676,679.4204194109903
Reliance Industries,2019-02-28,575.1165614089358,477.9854791356289,677.3203635003185
Reliance Industries,2019-03-01,571.6056855235639,475.92725394829495,670.211844524032
Reliance Industries,2019-03-05,563.845000476071,468.0709167643951,665.9146763601627
Reliance Industries,2019-03-06,560.6288365582425,462.4467308021221,663.7228328120547
Reliance Industries,2019-03-07,557.4857172379047,467.752138146177,656.4595729165977
Reliance Industries,2019-03-08,553.8243751898115,453.5799874324698,648.8202820467894
Reliance Industries,2019-03-11,547.1673511190544,454.81524849408703,646.0731619729198
Reliance Industries,2019-03-12,548.3200525910144,447.55450461448777,647.0539104202655
Reliance Industries,2019-03-13,546.2718253425408,455.0652200297705,643.0663175733931
Reliance Industries,2019-03-14,544.4781273647293,447.12081921943883,645.9726232410692
Reliance Industries,2019-03-15,542.3124294804702,444.195562038086,639.1153634570279
Reliance Industries,2019-03-18,540.6530215739822,443.7366728425039,635.0927093749237
Reliance Industries,2019-03-19,543.5220155542562,447.3301045329231,634.3242986285961
Reliance Industries,2019-03-20,543.1598624692147,447.252465508273,639.5628257356279
Reliance Industries,2019-03-22,542.3703298053035,442.8440244488284,634.5541667582878
Reliance Industries,2019-03-25,544.6508297940442,450.55362141395574,639.141511897714
Reliance Industries,2019-03-26,548.5657138645485,457.0057743640012,652.3496919914535
Reliance Industries,2019-03-27,549.1085515501288,459.3335115458491,653.4995051249551
Reliance Industries,2019-03-28,549.7082171072104,447.6652224482275,647.139679330708
Reliance Industries,2019-04-01,553.2138074265584,453.25550567059935,654.2220189898924
Reliance Industries,2019-04-02,557.3504453517161,455.8566480165138,653.4649542239542
Reliance Industries,2019-04-03,558.0494740683095,464.4180749506973,655.9397906069757
Reliance Industries,2019-04-04,558.7553999854287,470.02669437051486,660.482149368315
Reliance Industries,2019-04-05,558.8375107616674,461.84247563711074,652.8049394889832
Reliance Industries,2019-04-08,562.4543573074465,465.45876734607555,659.6029949533778
Reliance Industries,2019-04-09,566.629534189791,481.44743327173165,665.6370739075995
Reliance Industries,2019-04-10,567.3727805317549,475.53952657814216,668.3800710614793
Reliance Industries,2019-04-11,568.1280316071319,470.32052913332484,663.8298171962915
Reliance Industries,2019-04-12,568.2609392892514,459.88974400797576,658.5799206273389
Reliance Industries,2019-04-15,571.9617687116771,471.3032332126454,667.6818431532873
Reliance Industries,2019-04-16,576.105548594908,473.5049919173854,674.8799204878022
Reliance Industries,2019-04-18,577.3726066960613,479.65181682534933,668.5205144093754
Reliance Industries,2019-04-22,579.7069123356555,480.24756440429115,679.1342133781635
Reliance Industries,2019-04-23,583.203449195193,488.621416696681,679.3524322779083
Reliance Industries,2019-04-24,583.0991040092218,480.1556947222562,681.1036729806799
Reliance Industries,2019-04-25,582.8259473953897,483.22046965889234,679.812659193826
Reliance Industries,2019-04-26,581.7422634620859,483.1490881833882,675.0326265985118
Reliance Industries,2019-04-30,582.8894204039096,486.80945440557343,673.102012319893
Reliance Industries,2019-05-02,579.9239981175609,480.2570950051856,678.5269925834046
Reliance Industries,2019-05-03,577.5914047807166,485.2870831720266,675.6829938540178
Reliance Industries,2019-05-06,573.3279158287786,478.0937301653106,673.269005061856
Reliance Industries,2019-05-07,574.7638677012059,476.57510797938556,675.068592188514
Reliance Industries,2019-05-08,572.7701473732893,477.5353292755643,668.8436466551403
Reliance Industries,2019-05-09,570.8302944486826,468.66277508061154,663.9190426588983
Reliance Industries,2019-05-10,568.351859068709,467.4490239115996,667.9195170628658
Reliance Industries,2019-05-13,565.15940427625,466.6857347507331,663.2617142552773
Reliance Industries,2019-05-14,567.4654120124163,470.32359957533214,666.711983216523
Reliance Industries,2019-05-15,566.5879067326646,471.7307207088568,662.656603429364
Reliance Industries,2019-05-16,565.9947704689488,468.080128591715,659.8738878854817
Reliance Industries,2019-05-17,565.0718183650235,471.04963235612354,659.2260010095135
Reliance Industries,2019-05-20,567.4991789780729,467.4285058031749,669.3780335805643
Reliance Industries,2019-05-21,571.8737830403949,475.02463409931596,665.2697447079875
Reliance Industries,2019-05-22,573.0928783452048,474.7191486879904,670.9028197498341
Reliance Industries,2019-05-23,574.5795678924117,475.0890149108714,668.9535835076442
Reliance Industries,2019-05-24,575.6744251795877,477.70638499746974,672.0677736910093
Reliance Industries,2019-05-27,583.3477853030752,485.27867614364226,682.0888818552501
Reliance Industries,2019-05-28,589.0703476258816,487.6806024074696,680.3776373099304
Reliance Industries,2019-05-29,591.381694019239,496.85451214915025,688.1631027440047
Reliance Industries,2019-05-30,593.6799007747373,500.2785205098377,690.3925522973763
Reliance Industries,2019-05-31,595.2870142599226,496.36658095132884,690.7931108050733
Reliance Industries,2019-06-03,602.6237226337703,510.13151131865993,701.8489396272442
Reliance Industries,2019-06-04,607.6210128850443,515.9095638608783,701.5236841978843
Reliance Industries,2019-06-06,609.9582801613706,514.7877180380299,709.7781741674231
Reliance Industries,2019-06-07,610.0747211269503,513.7024601825287,704.2479542040801
Reliance Industries,2019-06-10,611.9727093342046,512.5799253736869,707.0093498945215
Reliance Industries,2019-06-11,614.9827662500062,523.7864463991853,709.1879117424265
Reliance Industries,2019-06-12,614.2912986817215,516.8497128460738,703.8667897067523
Reliance Industries,2019-06-13,613.3694609082413,516.7030636989431,707.1273201465727
Reliance Industries,2019-06-14,611.6172381031986,517.7751013824264,703.5344008464767
Reliance Industries,2019-06-17,608.8503481307611,506.554892162646,706.5550526501252
Reliance Industries,2019-06-18,610.7370714885571,513.2490719501274,700.7379651528565
Reliance Industries,2019-06-19,609.1826397067878,510.54599932671005,711.4557310992552
Reliance Industries,2019-06-20,607.6748429327818,514.126582033666,705.0272449712513
Reliance Industries,2019-06-21,605.6229339052779,510.26295658046536,705.6700034791362
Reliance Industries,2019-06-24,603.6541280970691,504.84356520508095,707.4540285921385
Reliance Industries,2019-06-25,606.3290477554187,509.2374878915522,700.3640345153243
Reliance Industries,2019-06-26,605.7851853640304,505.5122386955135,707.2391743915667
Reliance Industries,2019-06-27,605.4783000236359,506.8143293397528,702.6135603959492
Reliance Industries,2019-06-28,604.7809440060062,514.0988452621062,697.7971544476158
Reliance Industries,2019-07-01,607.382787229335,511.432643223928,702.3841203236983
Reliance Industries,2019-07-02,611.6040978913935,515.9378895580876,710.5236650601596
Reliance Industries,2019-07-03,612.5452264967563,518.971800831754,701.0186433154643
Reliance Industries,2019-07-04,613.6208794423882,518.6337436472014,710.0350169831534
Reliance Industries,2019-07-05,614.1658751886474,521.0347907354445,714.2293856239684
Reliance Industries,2019-07-08,619.3459987222838,523.1785402479114,713.8241808919363
Reliance Industries,2019-07-09,623.9698138377241,527.647907256736,718.5445721900135
Reliance Industries,2019-07-10,625.0641571587115,526.3745757981892,721.170201270473
Reliance Industries,2019-07-11,626.041563841051,537.7829587734328,713.4142829095848
Reliance Industries,2019-07-12,626.2416225181975,526.7445611457957,722.2686332137886
Reliance Industries,2019-07-15,629.0528079283522,539.9586047874922,723.282458944343
Reliance Industries,2019-07-16,632.5201313765178,544.8614560667121,723.3025954265045
Reliance Industries,2019-07-17,632.3255715721874,531.3656269760347,722.5509556409689
Reliance Industries,2019-07-18,631.9176518758704,541.5866256383913,724.2276981765284
Reliance Industries,2019-07-19,630.6741167647153,528.1538829236041,728.7646535322497
Reliance Industries,2019-07-22,629.1960166031398,534.6559230312865,724.8315434233522
Reliance Industries,2019-07-23,631.3733096872654,539.3334847725146,731.1805318115395
Reliance Industries,2019-07-24,630.0156671484327,540.7916009859838,736.2812251118628
Reliance Industries,2019-07-25,628.6003780643783,534.2697573816758,720.1313516054693
Reliance Industries,2019-07-26,626.5291958289023,539.3760341854569,726.448878700957
Reliance Industries,2019-07-29,623.8037247178033,530.6540739990157,720.9025012982224
Reliance Industries,2019-07-30,625.9995907091643,535.9936692987051,716.9070994700721
Reliance Industries,2019-07-31,624.8736723226742,535.3435009511005,721.4035577802483
Reliance Industries,2019-08-01,623.8988128032735,523.4271676545325,723.9571681402902
Reliance Industries,2019-08-02,622.4532051813039,517.43670541494,717.7078619591736
Reliance Industries,2019-08-05,622.479800480857,524.8060804561234,719.5971851046936
Reliance Industries,2019-08-06,625.7888250929022,528.1800670162152,723.3595577513652
Reliance Industries,2019-08-07,625.8203183408849,532.5624125288258,729.6470507086392
Reliance Industries,2019-08-08,626.0066777614762,524.7681522437848,720.4450933150624
Reliance Industries,2019-08-09,625.6997721101912,534.0743789142407,720.8227254136265
Reliance Industries,2019-08-13,632.7671153436105,541.0555954275973,728.02358044556
Reliance Industries,2019-08-14,633.4038043816059,539.7325439353732,736.2306156370474
Reliance Industries,2019-08-16,633.989017343828,535.0575937788198,731.2392236869018
Reliance Industries,2019-08-19,636.7356174029165,545.4861741499144,737.7647474524948
Reliance Industries,2019-08-20,640.387733622939,540.3126478440031,730.3905957692695
Reliance Industries,2019-08-21,640.4686843561199,549.915296390938,740.0809116816264
Reliance Industries,2019-08-22,640.4164225609212,543.0652036233251,737.0493158691885
Reliance Industries,2019-08-23,639.596395895308,548.248114962209,739.6934891809605
Reliance Industries,2019-08-26,639.6533266573547,545.3852943059381,737.5120162609286
Reliance Industries,2019-08-27,642.3786643205527,549.5436105415652,740.1786892369223
Reliance Industries,2019-08-28,641.5603980742593,548.0608442549626,742.451878527783
Reliance Industries,2019-08-29,640.6598430012218,545.5763558396583,740.4788249959548
Reliance Industries,2019-08-30,639.0633232439466,540.6309821297708,729.4582935067356
Reliance Industries,2019-09-03,639.7580563525395,548.846935911537,736.348908955556
Reliance Industries,2019-09-04,638.7133277826359,539.2734010441702,739.1881650535828
Reliance Industries,2019-09-05,637.7061841115489,545.8810041177802,728.9022707395568
Reliance Industries,2019-09-06,636.1166144054497,535.251298355168,732.4007930684421
Reliance Industries,2019-09-09,635.0202276401097,539.1939360285589,730.8990518778163
Reliance Industries,2019-09-11,637.048682886299,543.8714594379139,737.7784297561889
Reliance Industries,2019-09-12,636.4230752743684,533.8187193038699,730.521042156434
Reliance Industries,2019-09-13,635.20971500905,532.3418363652883,730.9926481397941
Reliance Industries,2019-09-16,635.0171493419181,541.3149736340459,732.2966911819366
Reliance Industries,2019-09-17,637.8952830166678,539.4161806916019,735.5268055023066
Reliance Industries,2019-09-18,637.3017464629091,542.2683775835003,728.7777605280876
Reliance Industries,2019-09-19,636.6670847976571,538.4797491853409,735.822850862829
Reliance Industries,2019-09-20,635.3463438081267,538.0063790862579,731.5738528349495
Reliance Industries,2019-09-23,634.2542455064978,543.0661694560516,732.1799030553317
Reliance Industries,2019-09-24,636.6620855349274,539.0915989116114,737.1081757091279
Reliance Industries,2019-09-25,635.53205726034,540.7011780276524,724.5530324143166
Reliance Industries,2019-09-26,634.3100900877065,539.5911902757522,735.1036903480709
Reliance Industries,2019-09-27,632.368524416461,539.2079670623805,731.9782256178725
Reliance Industries,2019-09-30,629.401154664178,533.5815092700849,723.9401895190634
Reliance Industries,2019-10-01,631.2428152697004,540.3118063490961,727.3836248854833
Reliance Industries,2019-10-03,627.9501022559446,530.0416696726088,721.4939455255623
Reliance Industries,2019-10-04,625.6614618382838,531.830204364556,723.9520874305156
Reliance Industries,2019-10-07,622.2482542107061,527.4285985558573,719.6088117922169
Reliance Industries,2019-10-09,622.6666006590473,521.1547188774114,716.168590874614
Reliance Industries,2019-10-10,621.2568462327305,519.6494218077588,722.2534236682172
Reliance Industries,2019-10-11,619.2915730009184,527.5200843624309,718.3272206042982
Reliance Industries,2019-10-14,617.1560033714482,520.0393540722943,714.6298755811438
Reliance Industries,2019-10-15,619.5213823492958,518.1564499042324,712.014752964803
Reliance Industries,2019-10-16,618.4919483058572,518.9142820309023,719.3834969828288
Reliance Industries,2019-10-17,617.4997614862094,527.9405115233424,715.212369362427
Reliance Industries,2019-10-18,615.8984589768153,524.0506347872773,708.0461057761867
Reliance Industries,2019-10-22,616.7362588452223,519.3943215405784,706.4103271929882
Reliance Industries,2019-10-23,615.5959204457968,515.7239857586466,720.6057395479108
Reliance Industries,2019-10-24,614.3806861370563,519.8727353134874,711.647702718479
Reliance Industries,2019-10-25,612.4481831807202,519.1032854971651,714.4957412894244
Reliance Industries,2019-10-27,655.9471505885797,565.3044973963027,750.7796348301462
Reliance Industries,2019-10-29,611.1094377750939,516.6728556200046,705.4050954372349
Reliance Industries,2019-10-30,609.3030017804371,524.6565698665476,701.5656657199444
Reliance Industries,2019-10-31,607.4199651087159,512.9412604701979,699.8301223572588
Reliance Industries,2019-11-01,604.8449877230152,506.7455146324711,703.4690511180058
Reliance Industries,2019-11-04,600.2792537004963,493.1654691234669,703.1161282647973
Reliance Industries,2019-11-05,601.7366897977558,502.3201868961404,698.1328034814362
Reliance Industries,2019-11-06,599.8137740371905,504.1864339049503,702.2053228281859
Reliance Industries,2019-11-07,597.985674495055,508.85351016907657,699.5109577107891
Reliance Industries,2019-11-08,595.6507192977502,493.4082459642737,698.8348431764136
Reliance Industries,2019-11-11,592.9750752551627,499.3251556055281,688.611054888446
Reliance Industries,2019-11-13,594.7047291080128,499.80122857185586,691.1967094104486
Reliance Industries,2019-11-14,594.2121510609323,495.664741241291,689.6102971662822
Reliance Industries,2019-11-15,593.3394898024574,500.46665233970873,687.2279283064121
Reliance Industries,2019-11-18,595.4923879637056,499.38725310918005,690.8718907847654
Reliance Industries,2019-11-19,599.5951553360313,504.18450842031893,693.32334754122
Reliance Industries,2019-11-20,600.4351017947703,501.71265989421187,700.2299727656714
Reliance Industries,2019-11-21,601.4268260419728,502.7695423043918,694.4372984120444
Reliance Industries,2019-11-22,601.9038983770974,505.24034207479684,696.6128498110055
Reliance Industries,2019-11-25,606.9437074764928,514.4296202106618,701.5656409030476
Reliance Industries,2019-11-26,611.524047860724,512.8905195187364,710.6983443443004
Reliance Industries,2019-11-27,612.5643594730385,519.8036589194913,711.1759225294954
Reliance Industries,2019-11-28,613.4682407232322,520.7108277329651,705.1881948392387
Reliance Industries,2019-11-29,613.5656405361044,521.9551172605445,710.7329036163338
Reliance Industries,2019-12-02,615.794807327897,520.5994225556472,712.9974505958611
Reliance Industries,2019-12-03,618.9456982414413,516.4010980151402,713.3799986485133
Reliance Industries,2019-12-04,618.3605291059497,524.802641893695,712.7448227458025
Reliance Industries,2019-12-05,617.48253550618,514.6051567852443,710.5459503521975
Reliance Industries,2019-12-06,615.6864222257276,519.6258281749297,705.0276593249325
Reliance Industries,2019-12-09,612.0659745362917,520.231243412279,707.8579264143675
Reliance Industries,2019-12-10,613.3863643464213,520.0675541580689,717.5155547373347
Reliance Industries,2019-12-11,611.1178596699194,516.052483114176,700.9577552616768
Reliance Industries,2019-12-12,608.7530145095922,513.9847831076482,703.3298488979824
Reliance Industries,2019-12-13,605.7118267118879,507.78536823459615,703.7403473152889
Reliance Industries,2019-12-16,600.1736401735355,503.4005987879932,692.9927249531258
