"indicator_id";"company_id";"date";"sma_20";"sma_50";"ema_20";"ema_50";"rsi";"macd"
1;1;"2019-03-13";572.16;554.78;577.17;554.78;72.13;13.04
2;1;"2019-03-14";574.1;556.8;580.62;557.07;70.13;14.34
3;1;"2019-03-15";576.33;558.76;582.86;558.92;63.57;14.47
4;1;"2019-03-18";578.74;561.12;586.13;561.21;68.15;15.44
5;1;"2019-03-19";582.32;563.66;590.24;563.88;71.72;16.99
6;1;"2019-03-20";585.96;566.13;593.92;566.42;71.37;17.97
7;1;"2019-03-22";588.42;568.3;595.77;568.27;61.28;17.31
8;1;"2019-03-25";590.19;570.25;596.7;569.73;56.83;15.96
9;1;"2019-03-26";593.27;572.63;599.4;571.9;63.82;16.28
10;1;"2019-03-27";595.95;574.93;601.06;573.66;59.46;15.69
11;1;"2019-03-28";599.14;577.33;603.03;575.54;61.17;15.44
12;1;"2019-04-01";602.99;579.73;606.2;577.93;65.77;16.23
13;1;"2019-04-02";606.62;582.05;608.97;580.18;65.2;16.59
14;1;"2019-04-03";610.03;584.25;610.85;582.08;61.4;16.15
15;1;"2019-04-04";612.66;585.79;611.59;583.51;56.02;14.81
16;1;"2019-04-05";614.7;586.86;612.29;584.9;56.18;13.63
17;1;"2019-04-08";616.05;587.72;611.85;585.8;50.49;11.65
18;1;"2019-04-09";617.59;588.71;611.68;586.75;51.61;10.15
19;1;"2019-04-10";618.21;589.47;611.39;587.61;50.88;8.75
20;1;"2019-04-11";618.57;590.4;611.81;588.71;54.36;8.12
21;1;"2019-04-12";618.47;591.43;612.02;589.7;53.38;7.39
22;1;"2019-04-15";618.44;592.62;612.08;590.6;52.57;6.63
23;1;"2019-04-16";618.94;593.97;612.29;591.53;53.5;6.1
24;1;"2019-04-18";619.76;595.42;614.32;593.18;62.72;7.14
25;1;"2019-04-22";619.05;596.3;614.39;594.04;52.03;6.4
26;1;"2019-04-23";618.79;596.96;615.26;595.2;55.73;6.42
27;1;"2019-04-24";619.88;597.86;617.16;596.77;60.3;7.3
28;1;"2019-04-25";620.97;598.43;618.14;597.97;56.14;7.28
29;1;"2019-04-26";621.56;599.36;619.91;599.49;59.71;7.93
30;1;"2019-04-30";622.55;600.41;621.51;600.95;59.71;8.34
31;1;"2019-05-02";623.58;601.8;623.5;602.57;61.88;9.02
32;1;"2019-05-03";623.97;603.2;625.46;604.2;62.55;9.59
33;1;"2019-05-06";623.86;604.67;626.19;605.33;55.87;9.05
34;1;"2019-05-07";623.14;605.57;625.05;605.68;46.6;7.01
35;1;"2019-05-08";621.91;606.3;622.1;605.23;39.15;3.73
